beer_id,abv,ibu,name,style,ounces
150,0.075,115,Hop A-Peel,American Double / Imperial IPA,16
151,0.055,12,Vanilla Java Porter,American Porter,16
152,0.052,,Michelada,Fruit / Vegetable Beer,16
153,0.045,8,Dirty Blonde Ale,American Blonde Ale,12
154,0.05,62,Grand Circus IPA,American IPA,12
155,0.05,12,Atwater's Lager,Munich Helles Lager,12
156,0.07,,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,16
157,0.062,,Fire Eagle IPA,American IPA,12
158,0.051,,Peacemaker,American Pale Ale (APA),12
159,0.053,,Pearl-Snap,German Pilsener,12
160,0.052,,Black Thunder,Schwarzbier,12
161,0.08,,Raja,American Double / Imperial IPA,12
162,0.064,,Perzik Saison,Saison / Farmhouse Ale,12
163,0.047,42,Avery Joe’s Premium American Pilsner,German Pilsener,12
164,0.056,10,White Rascal,Witbier,12
165,0.063,69,Avery India Pale Ale,American IPA,12
166,0.055,17,Ellie’s Brown Ale,American Brown Ale,12
167,0.062,17,Pumpkin Beast,Pumpkin Ale,12
168,0.072,22,OktoberBeast,Märzen / Oktoberfest,12
169,0.048,23,Mad Beach,American Pale Wheat Ale,12
170,0.067,,Hog Wild India Pale Ale,American IPA,12
171,0.092,5,Devils Tramping Ground Tripel,Tripel,12
172,0.061,41,Hot Rod Red,American Amber / Red Ale,12
173,0.086,,Palate Mallet,American Double / Imperial IPA,12
174,0.06,,Back East Porter,American Porter,12
175,0.049,,Back East Golden Ale,American Blonde Ale,12
176,0.07,,Misty Mountain IPA,American IPA,12
177,0.05,,Back East Ale,American Amber / Red Ale,12
178,0.06,,Truck Stop Honey Brown Ale,English Brown Ale,12
179,0.06,43,Naked Pig Pale Ale,American Pale Ale (APA),12
180,0.068,70,Topcutter India Pale Ale,American IPA,12
181,0.044,38,Field 41 Pale Ale,American Pale Ale (APA),12
182,0.07,,Grapefruit Sculpin,American IPA,12
183,0.038,40,Even Keel,American IPA,12
184,0.052,23,Ballast Point Pale Ale,Kölsch,12
185,0.07,75,Big Eye India Pale Ale,American IPA,12
186,0.046,,Longfin Lager,Munich Helles Lager,12
187,0.07,70,Sculpin IPA,American IPA,12
188,0.045,,All Nighter Ale,Extra Special / Strong Bitter (ESB),12
189,0.045,20,Banner American Rye,Rye Beer,12
190,0.035,45,Banner American Ale,American Amber / Red Ale,12
191,0.07,46,Thai.p.a,American IPA,16
192,0.06,60,Barrio Blanco,American IPA,12
193,0.045,,Barrio Tucson Blonde,American Blonde Ale,12
194,0.049,22,Hop in the ‘Pool Helles,American Pilsner,12
195,0.067,60,Ultra Gnar Gnar IPA,American IPA,12
196,0.068,62,In-Tents India Pale Lager,American Pale Lager,12
197,0.05,20,Lost Meridian Wit,Witbier,12
198,0.051,45,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,12
199,0.054,55,Wagon Party,California Common / Steam Beer,12
200,0.067,70,Sky-Five,American IPA,12
201,0.05,28,Stargrazer,Schwarzbier,12
202,0.054,48,Wonderstuff,German Pilsener,12
203,0.053,,Tarnation California-Style Lager,California Common / Steam Beer,12
204,0.07,42,On the Count of 3 (2015),Hefeweizen,16
205,0.047,,Summer Swelter,American Pale Wheat Ale,12
206,0.068,,Phantom Punch Winter Stout,Foreign / Export Stout,12
207,0.066,,Hayride Autumn Ale,Rye Beer,12
208,0.047,,Celsius Summer Ale (2012),American Pale Wheat Ale,12
209,0.055,35,Amber Road,American Amber / Red Ale,12
210,0.049,28,Pamola Xtra Pale Ale,American Pale Ale (APA),12
211,0.069,69,Stowaway IPA,American IPA,12
212,0.088,108,Hoptopus Double IPA,American Double / Imperial IPA,16
213,0.05,10,Watermelon Ale,Fruit / Vegetable Beer,12
214,0.058,45,Fenway American Pale Ale,American Pale Ale (APA),12
215,0.068,85,Back Bay IPA,American IPA,12
216,0.048,16,Bunker Hill Blueberry Ale ,Other,12
217,0.058,,Oberon,American Pale Wheat Ale,12
218,0.06,,Smitten,Rye Beer,16
219,0.05,,Winter White,Witbier,16
220,0.058,,Oberon,American Pale Wheat Ale,16
221,0.07,,Two Hearted,American IPA,16
222,0.058,,Best Brown,American Brown Ale,16
223,0.044,44,Moar,English India Pale Ale (IPA),12
224,0.083,,Uber Lupin Schwarz IPA,American Double / Imperial IPA,16
225,0.057,27,Nordic Blonde,American Blonde Ale,12
226,0.06,,Cold Press,American Black Ale,12
227,0.072,87,Harness the Winter,American IPA,12
228,0.056,32,14° ESB ,Extra Special / Strong Bitter (ESB),12
229,0.062,68,Bent Hop Golden IPA,American IPA,12
230,0.06,34,Bent Paddle Black Ale,American Black Ale,12
231,0.05,38,Venture Pils,German Pilsener,12
232,0.055,40,Lost Sailor IPA,English India Pale Ale (IPA),12
233,0.053,20,Steel Rail Extra Pale Ale,American Pale Ale (APA),12
234,0.078,,La Frontera Premium IPA,American IPA,12
235,0.047,,Tejas Lager,Czech Pilsener,12
236,0.064,,Number 22 Porter,American Porter,12
237,0.056,,Big Bend Hefeweizen,Hefeweizen,12
238,0.06,,Terlingua Gold,American Blonde Ale,12
239,0.081,17,Aprè Shred,American Strong Ale,16
240,0.095,104,Hemlock Double IPA,American Double / Imperial IPA,12
241,0.041,,West Portal Colorado Common Summer Ale,California Common / Steam Beer,16
242,0.067,85,Disconnected Red,American Amber / Red Ale,16
243,0.07,,Big Elm IPA,American IPA,12
244,0.065,,Gerry Dog Stout,American Stout,12
245,0.06,,413 Farmhouse Ale,Saison / Farmhouse Ale,12
246,0.08,54,Dark Star,American Stout,16
247,0.062,,Ryecoe,American IPA,16
248,0.06,,Blueberry Blonde,Fruit / Vegetable Beer,12
249,0.075,60,Galaxy IPA,American IPA,16
250,0.05,32,Big River Pilsner,Czech Pilsener,12
251,0.06,55,House Brand IPA,American IPA,12
252,0.062,65,Big Sky IPA,American IPA,12
253,0.05,40,Scape Goat Pale Ale,English Pale Ale,12
254,0.05,35,Montana Trout Slayer Ale,American Pale Wheat Ale,12
255,0.051,26,Moose Drool Brown Ale,American Brown Ale,12
256,0.072,60,Powder Hound Winter Ale,English Strong Ale,12
257,0.051,26,Moose Drool Brown Ale (2011),American Brown Ale,12
258,0.05,35,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,12
259,0.062,65,Big Sky IPA (2012),American IPA,12
260,0.047,,Summer Honey,American Blonde Ale,12
261,0.05,40,Scape Goat Pale Ale (2010),English Pale Ale,12
262,0.05,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,12
263,0.051,26,Moose Drool Brown Ale (2009),American Brown Ale,12
264,0.069,81,Arcus IPA,American IPA,12
265,0.058,38,Wavemaker,American Amber / Red Ale,12
266,0.053,43,Jack Pine Savage,American Pale Ale (APA),16
267,0.099,85,Forest Fire Imperial Smoked Rye,Rye Beer,16
268,0.098,76,Bad Axe Imperial IPA,American Double / Imperial IPA,16
269,0.055,35,Morning Wood,Oatmeal Stout,16
270,0.066,50,Bark Bite IPA,American IPA,16
271,0.055,45,Jalapeno Pale Ale,American Pale Ale (APA),16
272,0.052,,Blown Out Brown,American Brown Ale,12
273,0.063,,Single Hop Ale,American Pale Ale (APA),12
274,0.054,,Sawtooth Ale,American Blonde Ale,12
275,0.072,75,Saucy Intruder,Rye Beer,16
276,0.045,16,Deception,American Blonde Ale,12
277,0.075,35,Blackmarket Rye IPA,American IPA,12
278,0.05,8,Black Market Hefeweizen,Hefeweizen,12
279,0.058,44,Aftermath Pale Ale,American Pale Ale (APA),12
280,0.071,83,American India Red Ale,American Strong Ale,12
281,0.071,45,American Red Porter,American Porter,12
282,0.078,34,American Red Saison,Saison / Farmhouse Ale,12
283,0.066,44,Colorado Red Ale,American Amber / Red Ale,12
284,0.048,16,Saddle Bronc Brown Ale,American Brown Ale,12
285,0.046,20,Bomber Mountain Amber Ale,American Amber / Red Ale,12
286,0.073,,Flying Sailor,Rye Beer,12
287,0.048,47,Nordskye ,American IPA,12
288,0.06,30,North Third Stout,Foreign / Export Stout,12
289,0.052,,Honey Lav,American Pale Wheat Ale,12
290,0.068,,Coconut Brown Ale,American Brown Ale,12
291,0.07,51,51K IPA,American IPA,12
292,0.055,,Grand Rabbits,Cream Ale,12
293,0.05,,1800 Big Log Wheat (2012),American Pale Wheat Ale,12
294,,,Double Play Pilsner,American Pilsner,12
295,0.055,,Brewerhood Brown Ale,American Brown Ale,12
296,0.08,,Last Call Imperial Amber Ale,American Amber / Red Ale,12
297,0.096,,Pernicious Double IPA,American Double / Imperial IPA,12
298,0.052,,6-4-3 Double Play Pilsner,German Pilsener,12
299,,,N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,12
300,0.05,,467 Ethan's Stout,American Stout,12
301,0.064,,1335 Wicked Snout,Saison / Farmhouse Ale,12
302,0.045,,543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),12
303,0.056,37,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12
304,0.056,37,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12
305,0.056,37,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12
306,0.046,35,834 Happy As Ale,American Pale Ale (APA),12
307,0.059,,Yellow Collar,Mead,12
308,0.059,,Green Collar,Mead,12
309,0.08,80,Quarter Mile Double IPA,American Double / Imperial IPA,12
310,0.059,60,Full Nelson Pale Ale,American Pale Ale (APA),12
311,0.065,30,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),12
312,0.053,22,Blue Mountain Classic Lager,Euro Pale Lager,12
313,0.059,60,Full Nelson Pale Ale (2010),American Pale Ale (APA),12
314,0.049,16,Kölsch 151,Kölsch,12
315,,,Professor Black,American Stout,12
316,,,Little Boss,American Pale Wheat Ale,12
317,,,Van Dayum!,American Amber / Red Ale,12
318,,,Spirit Animal,American Pale Ale (APA),12
319,0.07,,Toxic Sludge,American Black Ale,16
320,0.06,40,Blue Point White IPA,American White IPA,12
321,0.044,16,Blue Point Summer Ale,American Blonde Ale,12
322,0.055,28,Toasted Lager,Vienna Lager,12
323,0.06,,Bohemian Export Lager,Dortmunder / Export Lager,12
324,0.053,,Altus Bohemes Altbier,Altbier,12
325,0.04,,Cherny Bock,Schwarzbier,12
326,0.05,,Czech Pilsner,Czech Pilsener,12
327,0.05,,Viennese Lager,Vienna Lager,12
328,0.065,,Mad Manatee IPA,American IPA,12
329,0.055,,Killer Whale Cream Ale,Cream Ale,12
330,0.06,,Duke's Cold Nose Brown Ale,American Brown Ale,12
331,0.042,30,Longhop IPA,American IPA,16
332,0.04,34,Lucky Buck,Irish Dry Stout,16
333,0.051,,Bomb Lager (New Recipe),Munich Helles Lager,12
334,0.045,27,Bomb Lager (Old Recipe),Munich Helles Lager,12
335,0.066,72,Firestarter India Pale Ale,American IPA,12
336,0.075,22,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,16
337,0.048,30,Wood Splitter Pilsner,Czech Pilsener,16
338,0.056,26,Gyptoberfest,Märzen / Oktoberfest,12
339,0.07,94,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),16
340,0.047,,Slow & Steady Golden Ale,American Blonde Ale,12
341,0.068,,Pink-I Raspberry IPA,American IPA,16
342,0.047,,Moe's Original Bar B Que 'Bama Brew Golden Ale,American Blonde Ale,12
343,0.047,,Live Local Golden Ale,American Blonde Ale,12
344,0.048,38,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),12
345,0.049,,Dirtbag Dunkel,Munich Dunkel Lager,16
346,0.053,45,Kindler Pale Ale,American Pale Ale (APA),12
347,0.064,,Mistress Winter Wheat,Winter Warmer,12
348,0.061,,Tent Pole Vanilla Porter,American Porter,16
349,0.058,,Awry Rye Pale Ale,American Pale Ale (APA),12
350,0.058,,Demshitz Brown Ale,American Brown Ale,12
351,0.048,,Wood Splitter Pilsner (2012),Czech Pilsener,12
352,0.048,,Brush Creek Blonde,American Blonde Ale,16
353,0.066,72,Firestarter India Pale Ale,American IPA,16
354,0.071,16,Noche Dulce,American Porter,16
355,0.045,8,Porch Rocker,Radler,12
356,0.065,45,Rebel IPA,American IPA,16
357,0.055,,Cold Snap,Witbier,12
358,0.056,,Samuel Adams Winter Lager,Bock,12
359,0.049,30,Boston Lager,Vienna Lager,16
360,0.049,30,Boston Lager,Vienna Lager,12
361,0.053,15,Samuel Adams Octoberfest,Märzen / Oktoberfest,12
362,0.053,7,Samuel Adams Summer Ale,American Pale Wheat Ale,12
363,0.049,30,Boston Lager,Vienna Lager,12
364,0.049,35,Hazed & Infused,American Pale Ale (APA),12
365,0.057,35,Hoopla Pale Ale,American Pale Ale (APA),12
366,0.049,35,Hazed & Infused (2010),American Pale Ale (APA),12
367,0.062,80,Heavy Lifting,American IPA,12
368,0.065,,1492,American Pale Ale (APA),12
369,0.058,,Mango Ginger,American IPA,12
370,0.047,,Passenger,English Dark Mild Ale,12
371,0.06,52,Plum St. Porter,American Porter,12
372,0.057,52,Plum St. Porter,American Porter,12
373,0.07,80,Bozone HopZone IPA,American IPA,12
374,0.06,25,Bozone Hefe Weizen,Hefeweizen,12
375,0.055,,Bozone Select Amber Ale,American Amber / Red Ale,12
376,0.052,40,Evil Owl,American Amber / Red Ale,12
377,0.05,,Post Time Kölsch,Kölsch,16
378,0.042,9,Agave Wheat,American Pale Wheat Ale,12
379,0.045,15,SummerBright Ale,American Pale Wheat Ale,12
380,0.062,68,Lucky U IPA,American IPA,12
381,0.054,19,Avalanche Ale,American Amber / Red Ale,12
382,0.05,,"You're My Boy, Blue",Fruit / Vegetable Beer,12
383,0.072,60,Last Stop IPA,American IPA,12
384,0.05,21,Rollin Dirty Red Ale,Irish Red Ale,12
385,0.055,28,Are Wheat There Yet?,American Pale Wheat Ale,12
386,0.058,,Insert Hop Reference,American Pale Ale (APA),16
387,0.053,,Manitou Amber,American Amber / Red Ale,16
388,0.067,,Belfort,Saison / Farmhouse Ale,16
389,0.06,,Star Runner,Belgian Pale Ale,16
390,0.098,,Tart Side of the Barrel,American Double / Imperial Stout,16
391,0.06,,Linnaeus Mango IPA,American IPA,16
392,0.07,,Beasts A'Burnin',Rauchbier,16
393,0.077,,Verdun,Bière de Garde,16
394,0.065,,Barrel Aged Triomphe,Belgian IPA,16
395,0.065,,Cherry Doppelbock,Doppelbock,16
396,0.065,,Tropical Saison,Saison / Farmhouse Ale,16
397,0.065,,Beach Patrol,Witbier,16
398,0.05,,Nuit Serpent,Belgian IPA,16
399,0.09,,Paris,Saison / Farmhouse Ale,16
400,0.055,,The Grand Army,Belgian IPA,16
401,0.059,,Acidulated Trip,Saison / Farmhouse Ale,16
402,0.066,,Root Stock,Rye Beer,16
403,0.041,,Mind Games,Dunkelweizen,16
404,0.082,,Sous Chef,Belgian Strong Pale Ale,16
405,0.065,,Dubbelicious,Dubbel,16
406,0.062,,Psychopomp,Belgian Dark Ale,16
407,,,Fat Paczki,Belgian Dark Ale,16
408,,,Earth-Like Planets,Belgian Pale Ale,16
409,0.061,,Ski Patrol,Witbier,16
410,0.063,,Viking Ice Hole,Oatmeal Stout,16
411,0.056,,Rye Porter,American Porter,16
412,0.099,,Wizard Burial Ground,Quadrupel (Quad),16
413,0.051,,Smoky Wheat,Rauchbier,16
414,0.062,,BRIPA,Belgian IPA,16
415,0.062,,Mela,Belgian Dark Ale,16
416,0.053,,W.I.P.A Snappa,Belgian IPA,16
417,0.063,,Pepper in the Rye,Rye Beer,16
418,0.064,,Moe Lasses',American Stout,16
419,0.07,,Pumpkin Tart,Fruit / Vegetable Beer,16
420,0.067,,Undertaker,Belgian Dark Ale,16
421,0.067,,Undertaker (2014),Belgian Dark Ale,16
422,0.05,,Coq D'Or,Belgian Pale Ale,16
423,0.06,,North French,Bière de Garde,16
424,0.065,,Agent a Deux,Belgian Dark Ale,16
425,0.045,,Belgian Wit,Witbier,16
426,0.063,,Pothole Stout,American Stout,16
427,0.093,,Tree Bucket,Belgian IPA,16
428,0.073,,Le Flaneur Ale,American Wild Ale,16
429,0.056,,Maize & Blueberry,Fruit / Vegetable Beer,16
430,0.093,,Trebuchet Double IPA,American Double / Imperial IPA,16
431,0.065,,Contemplation,Bière de Garde,16
432,0.05,,Black Rabbit,American Black Ale,16
433,0.09,,Zaison,Saison / Farmhouse Ale,16
434,0.082,,Vivant Tripel,Tripel,16
435,0.098,,Tart Side of the Moon,Belgian Dark Ale,16
436,0.06,,Big Red Coq,American Amber / Red Ale,16
437,0.099,,Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),16
438,0.095,,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,16
439,0.092,,Escoffier Bretta Ale,American Wild Ale,16
440,0.065,,Contemplation (2012),Bière de Garde,16
441,0.099,,Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,16
442,0.062,,Big Red Coq (2012),American Amber / Red Ale,16
443,0.09,,Zaison (2012),Saison / Farmhouse Ale,16
444,0.092,,Vivant Tripel (2012),Tripel,16
445,0.097,,Trebuchet Double IPA (2012),Belgian IPA,16
446,0.085,,Kludde,Belgian Strong Dark Ale,16
447,0.055,,Farm Hand,Saison / Farmhouse Ale,16
448,0.06,,Solitude,Belgian Pale Ale,16
449,0.065,,Triomphe,Belgian IPA,16
450,,,Tampa Pale Ale,American Pale Ale (APA),12
451,,,Orange Grove Wheat Ale,American Pale Wheat Ale,12
452,0.061,,Broad Brook Ale,American Amber / Red Ale,16
453,0.05,15,Northern Lights Amber Ale,American Amber / Red Ale,12
454,0.052,17,Polar Pale Ale,American Pale Ale (APA),12
455,0.048,,Chugach Session Ale,Cream Ale,12
456,0.061,64,Fairweather IPA,American IPA,12
457,0.068,47,East India Pale Ale,English India Pale Ale (IPA),16
458,0.045,,Brooklyn Summer Ale,English Pale Mild Ale,12
459,0.068,47,East India Pale Ale,English India Pale Ale (IPA),12
460,0.045,,Brooklyn Summer Ale (2011),English Pale Mild Ale,12
461,0.052,,Brooklyn Lager (16 oz.),American Amber / Red Lager,16
462,0.052,,Brooklyn Lager (12 oz.),American Amber / Red Lager,12
463,0.08,,Tour de Nez Belgian IPA (Current),Belgian IPA,16
464,,,Roler Bock (Current),Maibock / Helles Bock,16
465,0.073,85,Black Adder IBA (Current),American Black Ale,16
466,0.099,,Very Noddy Lager (Current),Schwarzbier,16
467,0.062,42,Tule Duck Red Ale (Current),American Amber / Red Ale,16
468,0.058,35,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,16
469,0.052,40,Black Noddy Lager (Current),Schwarzbier,16
470,0.053,,Cleveland Beer Week 2013,Munich Helles Lager,16
471,0.045,,Painted Turtle,American Pale Ale (APA),12
472,0.06,40,1836,American Blonde Ale,12
473,0.06,20,Summer's Wit,Witbier,12
474,0.09,118,More Cowbell,American Double / Imperial IPA,16
475,0.065,,Wrath of Pele,American Brown Ale,16
476,0.068,,Black Beer'd,American Black Ale,16
477,0.078,,Mr. Tea,Fruit / Vegetable Beer,24
478,0.055,40,Pale Alement,American Pale Ale (APA),12
479,0.099,115,Hopkick Dropkick,American Double / Imperial IPA,12
480,0.06,,Kreamed Corn,Cream Ale,12
481,0.065,,Coconoats,American Pale Wheat Ale,16
482,0.068,16,Joey Wheat,American Pale Wheat Ale,16
483,0.072,86,3:33 Black IPA,American IPA,16
484,0.068,,MCA,American IPA,16
485,0.055,40,Pale Alement,American Pale Ale (APA),16
486,0.05,14,Couch Select Lager,American Pale Lager,12
